FIPStxt,Stabr,Area_name,POVALL_2019,,,,,,,,,,,,,,,,,,,,,,,,,,
04017,AZ,Navajo ,"27,440",,,,,,,,,,,,,,,,,,,,,,,,,,
04019,AZ,Pima ,"142,859",,,,,,,,,,,,,,,,,,,,,,,,,,
04021,AZ,Pinal ,"52,975",,,,,,,,,,,,,,,,,,,,,,,,,,
04023,AZ,Santa Cruz ,"8,688",,,,,,,,,,,,,,,,,,,,,,,,,,
04025,AZ,Yavapai ,"27,845",,,,,,,,,,,,,,,,,,,,,,,,,,
04027,AZ,Yuma ,"41,782",,,,,,,,,,,,,,,,,,,,,,,,,,
05001,AR,Arkansas ,"2,714",,,,,,,,,,,,,,,,,,,,,,,,,,
05003,AR,Ashley ,"3,603",,,,,,,,,,,,,,,,,,,,,,,,,,
05005,AR,Baxter ,"5,248",,,,,,,,,,,,,,,,,,,,,,,,,,
05007,AR,Benton ,"24,525",,,,,,,,,,,,,,,,,,,,,,,,,,
05009,AR,Boone ,"5,572",,,,,,,,,,,,,,,,,,,,,,,,,,
05011,AR,Bradley ,"2,426",,,,,,,,,,,,,,,,,,,,,,,,,,
05013,AR,Calhoun ,771,,,,,,,,,,,,,,,,,,,,,,,,,,
05015,AR,Carroll ,"4,118",,,,,,,,,,,,,,,,,,,,,,,,,,
05017,AR,Chicot ,"2,900",,,,,,,,,,,,,,,,,,,,,,,,,,
05019,AR,Clark ,"3,971",,,,,,,,,,,,,,,,,,,,,,,,,,
05021,AR,Clay ,"2,691",,,,,,,,,,,,,,,,,,,,,,,,,,
05023,AR,Cleburne ,"3,452",,,,,,,,,,,,,,,,,,,,,,,,,,
05025,AR,Cleveland ,"1,080",,,,,,,,,,,,,,,,,,,,,,,,,,
05027,AR,Columbia ,"4,509",,,,,,,,,,,,,,,,,,,,,,,,,,
05029,AR,Conway ,"3,215",,,,,,,,,,,,,,,,,,,,,,,,,,
05031,AR,Craighead ,"17,960",,,,,,,,,,,,,,,,,,,,,,,,,,
05033,AR,Crawford ,"11,436",,,,,,,,,,,,,,,,,,,,,,,,,,
05035,AR,Crittenden ,"10,520",,,,,,,,,,,,,,,,,,,,,,,,,,
05037,AR,Cross ,"2,874",,,,,,,,,,,,,,,,,,,,,,,,,,
05039,AR,Dallas ,"1,241",,,,,,,,,,,,,,,,,,,,,,,,,,
05041,AR,Desha ,"2,859",,,,,,,,,,,,,,,,,,,,,,,,,,
05043,AR,Drew ,"3,191",,,,,,,,,,,,,,,,,,,,,,,,,,
05045,AR,Faulkner ,"17,459",,,,,,,,,,,,,,,,,,,,,,,,,,
05047,AR,Franklin ,"2,830",,,,,,,,,,,,,,,,,,,,,,,,,,
05049,AR,Fulton ,"2,169",,,,,,,,,,,,,,,,,,,,,,,,,,
05051,AR,Garland ,"16,532",,,,,,,,,,,,,,,,,,,,,,,,,,
05053,AR,Grant ,"2,189",,,,,,,,,,,,,,,,,,,,,,,,,,
05055,AR,Greene ,"6,925",,,,,,,,,,,,,,,,,,,,,,,,,,
05057,AR,Hempstead ,"3,930",,,,,,,,,,,,,,,,,,,,,,,,,,
05059,AR,Hot Spring ,"6,322",,,,,,,,,,,,,,,,,,,,,,,,,,
05061,AR,Howard ,"2,176",,,,,,,,,,,,,,,,,,,,,,,,,,
05063,AR,Independence ,"5,852",,,,,,,,,,,,,,,,,,,,,,,,,,
05065,AR,Izard ,"2,003",,,,,,,,,,,,,,,,,,,,,,,,,,
05067,AR,Jackson ,"3,313",,,,,,,,,,,,,,,,,,,,,,,,,,
05069,AR,Jefferson ,"14,942",,,,,,,,,,,,,,,,,,,,,,,,,,
05071,AR,Johnson ,"4,521",,,,,,,,,,,,,,,,,,,,,,,,,,
